"","NAME","NAMEJOIN","NAMECOUNTY","COUNTYJOIN","DATE","DATA_SOURC","IMG_VERIFD","X","Y","INDEX","P_CODE","ALT_NAME1","ALT_NAME2","ALT_NAME3","ALT_NAME4","STATEJOIN","PAYAM","BOMA","FUNC_CLASS","CONF_SCORE","SRC_VERIFD","SRC_V_REM"
"9730","Ngolembo","Ngolembo","NgolemboWau","Wau",NA,"VAS",0,27.88415,7.69605,5806,"BL-1037","","","","","WesternBahrelGhazal","Besselia","Ngolembo",6,30,1,"GPS"
"9731","MusaKomandogo","Musa_Komandogo","Musa_KomandogoRaja","Raja",NA,"WFP, OCHA COD, UNMISS, NBS Western Bahr el Ghazal",1,26.24288,7.69635,8314,"BK-0033","","","","","WesternBahrelGhazal","Uyujuku","",6,50,1,""
"9732","Mandewah","Mandewah","MandewahPanyijiar","Panyijiar",NA,"VAS",0,30.0814,7.69667,15608,"BN-1645","","","","","Unity","Mayom2","Wuding",6,30,1,"GPS"
"9733","Awan","Awan","AwanRumbekNorth","RumbekNorth",NA,"OCHA COD, NBS Lakes",1,29.63586,7.69674,13600,"BM-0914","","","","","Lakes","Malueeth","Acieek",6,20,0,"inside County"
"9734","Ayiyuei","Ayiyuei","AyiyueiRumbekNorth","RumbekNorth",NA,"OCHA COD, NBS Lakes",1,29.68062,7.69685,13605,"BM-0919","","","","","Lakes","Malueeth","Acieek",6,20,0,"inside County"
"9735","Amiel","Amiel","AmielDuk","Duk",NA,"OCHA COD, NBS Jonglei",1,31.27661,7.69692,572,"BN-0277","","","","","Jonglei","Dongchak","Amiel",6,20,1,""
"9736","Cueilul","Cueilul","CueilulDuk","Duk",NA,"AOK",0,31.32026,7.69739,18065,"","","","","","Jonglei","Dongchak","",6,30,0,""
"9737","JebelA","JEBEL_A","JEBEL_AWau","Wau",NA,"OCHA COD",1,27.99371,7.69743,5643,"BL-0865","","","","","WesternBahrelGhazal","Wau South","JEBEL A",6,10,0,""
"9738","Maperliet","Maperliet","MaperlietRumbekNorth","RumbekNorth",NA,"OCHA COD",1,29.71721,7.69749,13608,"BM-0922","","","","","Lakes","Maper","Maper Centre",8,10,0,"inside County"
"9739","Mogok","Mogok","MogokPanyijiar","Panyijiar",NA,"VAS",0,30.20323,7.69753,15609,"BN-1646","","","","","Unity","Nyal","Youp",6,30,1,"GPS"
"9740","KhorAgana","KHOR_AGANA","KHOR_AGANAWau","Wau",NA,"OCHA COD",1,27.96583,7.69761,5636,"BL-0858","","","","","WesternBahrelGhazal","Wau North","HAI KHORGANA",6,10,0,""
"9741","Mangong","Mangong","MangongAkobo","Akobo",NA,"WFP",0,32.87207,7.69797,903,"BO-0178","","","","","Jonglei","Bilkey","",6,20,1,""
"9742","Tholoka","Tholoka","TholokaPanyijiar","Panyijiar",NA,"VAS",1,30.24188,7.69815,15610,"BN-1647","","","","","Unity","Nyal","Palual",6,30,1,"GPS"
"9743","Mayom","Gap_Mayom","Gap_MayomPanyijiar","Panyijiar",NA,"UNMISS, WFP, NBS Unity, OCHA COD",0,30.075,7.69833,15611,"BN-1648","Gap Mayom","","","","Unity","Mayom2","",4,50,1,"JLC/FAO,"
"9744","Wau","Wau","WauWau","Wau",NA,"WFP, UNMISS, OCHA COD, NBS Western Bahr el Ghazal, IOM IDP, OCHA IDP",1,27.9935,7.69834,5545,"BL-0192","","","","","WesternBahrelGhazal","Wau South","",2,110,1,"JLC/FAO, Spountaneous Settlement, JLC/FAO, RRC"
"9745","NgotoAyum","Ngoto_Ayum","Ngoto_AyumWau","Wau",NA,"WFP, UNMISS, NBS Western Bahr el Ghazal",0,27.88344,7.69838,5544,"BL-0191","","","","","WesternBahrelGhazal","Besselia","",6,40,1,"GPS - ACTED, GPS - ACTED"
"9746","HaiJou","Hai_Jau","Hai_JauWau","Wau",NA,"AOK",0,27.9931,7.69841,18190,"","","","","","WesternBahrelGhazal","Wau South","",6,30,0,""
"9747","Tharbar","Tharbar","TharbarPanyijiar","Panyijiar",NA,"VAS, OCHA COD, NBS Unity",1,30.2201,7.69852,15612,"BN-1649","","","","","Unity","Nyal","Nyingoang",6,50,1,"GPS"
"9748","LoklokoA","LOKLOKO_A","LOKLOKO_AWau","Wau",NA,"OCHA COD",1,27.97284,7.69859,5634,"BL-0856","","","","","WesternBahrelGhazal","Wau North","LOKLOKO",6,10,0,""
"9749","Ngurumba","Ngurumba","NgurumbaWau","Wau",NA,"WFP, UNMISS, NBS Western Bahr el Ghazal",0,27.8006,7.69867,5546,"BL-0193","","","","","WesternBahrelGhazal","Besselia","",6,40,1,"GPS - ACTED, GPS - ACTED"
"9750","HaiKhersh","HAI_KHERSH","HAI_KHERSHWau","Wau",NA,"OCHA COD",1,27.99221,7.69902,5641,"BL-0863","","","","","WesternBahrelGhazal","Wau South","KHERESH A",6,10,0,""
"9751","Mayenbarkou","Mayenbarkou","MayenbarkouRumbekNorth","RumbekNorth",NA,"OCHA COD, NBS Lakes",1,29.71808,7.69924,13609,"BM-0923","","","","","Lakes","Maper","Mayen",8,20,0,"inside County"
